id,authors,title,isbn,identifiers,series,series_index,uuid
"572","Terry Pratchett","The Last Continent","9780385409896","isbn:9780385409896","Discworld","22.0","1fe2a3bf-f348-4d6d-bfdf-abf5ded9c340"
"574","Terry Pratchett","Jingo","9780613572316","isbn:9780613572316","Discworld","21.0","dfa68324-62c0-4cc1-8ebe-e553b9f7c760"
"576","Terry Pratchett","Carpe Jugulum","9780613277617","isbn:9780613277617","Discworld","23.0","c3d37dae-ead5-4b35-90dd-78d38b2112f6"
"577","Terry Pratchett","Maskerade","9780061056918","isbn:9780061056918","Discworld","18.0","c2529584-97ea-4c3d-8a21-2e359bb41753"
"578","Terry Pratchett","Interesting Times","9780061056901","isbn:9780061056901","Discworld","17.0","164772e6-0ad4-4236-9084-f77cc1a36f49"
"579","Terry Pratchett","Soul Music","9780061054891","isbn:9780061054891","Discworld","16.0","6130325b-db1f-47dd-8495-b9b77f23d407"
"580","Terry Pratchett","Men at Arms","9780061092190","isbn:9780061092190","Discworld","15.0","848f6c3d-6cf0-448d-a562-92f8df178bca"
"581","Terry Pratchett","Small Gods","","","Discworld","13.0","e537db5b-300a-4721-b7b6-290cba15f07c"
"582","Terry Pratchett","Witches Abroad","","","Discworld","12.0","19204a33-83f8-4fc4-89b7-c987f58327fb"
"583","Terry Pratchett","Lords and Ladies","9780061056925","isbn:9780061056925","Discworld","14.0","11d01250-2ac6-49be-991e-1de1f993fffa"
"584","Terry Pratchett","Reaper Man","9780451451682","isbn:9780451451682","Discworld","11.0","47ab8dce-8d56-45cd-a447-877e9e270673"
"585","Terry Pratchett","Eric","9780061807039","isbn:9780061807039","Discworld","9.0","e75ad3cb-af4a-43de-9ae3-aab74a8317c2"
"587","Terry Pratchett","Guards! Guards!","9780061440496","isbn:9780061440496","Discworld","8.0","75da8083-0aad-4407-9741-e038dd80be58"
"589","Terry Pratchett","Wyrd Sisters","9780061807152","isbn:9780061807152","Discworld","6.0","97d67c3e-c5e4-4465-b792-cf3509216b54"
"590","Terry Pratchett","Sourcery","9780061807145","isbn:9780061807145","Discworld","5.0","b2bf3d4c-3324-4093-98b7-e1722b614f39"
"591","Terry Pratchett","Mort","9780061803888","isbn:9780061803888","Discworld","4.0","42e03e1a-bdb8-4592-985a-5b4f7635565e"
"592","Terry Pratchett","Feet of Clay","9780061807022","isbn:9780061807022","Discworld","19.0","a5203410-8298-42b1-baee-db2b69e9d1c8"
"593","Alastair Humphreys","Moods of Future Joys","","","","1.0","50fbc581-eff2-4ebf-a8da-05c60243bfa1"
"594","Ben Clark","Red Team Field Manual","","","","1.0","3ec652c6-fef9-4c66-83d3-cda763df2318"
"596","Warren Ellis","Transmetropolitan 01 (1997)","","","Transmetropolitan","1.0","41281ed9-bed3-4bf7-8f1e-ea6f836fc027"
"597","Warren Ellis","Transmetropolitan - I Hate It Here","","","Transmetropolitan","62.0","f3d63e49-a587-4c02-8758-08bae30003cf"
"613","Warren Ellis","Transmetropolitan 02 (1997)","","","Transmetropolitan","2.0","aa7f7aea-ba92-4c0d-907b-3ec3f9cbc52f"
"629","Warren Ellis","Transmetropolitan 30 (2000)","","","Transmetropolitan","30.0","c549e329-8920-44fa-a99a-087c3b6d71cc"
"630","Warren Ellis","Transmetropolitan 29 (2000)","","","Transmetropolitan","29.0","4c0634a8-c04a-4db5-98f8-7dc2719ee289"
"631","Warren Ellis","Transmetropolitan 28 (1999)","","","Transmetropolitan","28.0","c36dbef0-cc6a-462b-b253-27b21dacb859"
"632","Warren Ellis","Transmetropolitan 27 (1999)","","","Transmetropolitan","27.0","4e7b4d69-7189-497b-af6a-2de61bc2b665"
"633","Warren Ellis","Transmetropolitan 26 (1999)","","","Transmetropolitan","26.0","fc96e786-747a-43f0-95d2-e8b66a811e44"
"634","Warren Ellis","Transmetropolitan 25 (1999)","","","Transmetropolitan","25.0","0f3e055c-be79-4601-bd4a-3f6b2a876fc2"
"635","Warren Ellis","Transmetropolitan 24 (1999)","","","Transmetropolitan","24.0","9f8a2fac-7b5d-4690-b3a1-1132e7f0ba76"
"636","Warren Ellis","Transmetropolitan 23 (1999)","","","Transmetropolitan","23.0","f2dbdd19-a642-453a-8d6f-ebb4302aae4b"
"637","Warren Ellis","Transmetropolitan 22 (1999)","","","Transmetropolitan","22.0","e08c00b7-8fb3-4964-801a-e0ff1e9fb0a7"
"638","Warren Ellis","Transmetropolitan 21 (1999)","","","Transmetropolitan","21.0","5ac4307e-e8e5-47aa-a0db-a17f85b45a04"
"639","Warren Ellis","Transmetropolitan 20 (1999)","","","Transmetropolitan","20.0","fdb91ce9-f0b6-4f1c-95d0-17161259308f"
"640","Warren Ellis","Transmetropolitan 19 (1999)","","","Transmetropolitan","19.0","e2011756-1f7b-4a43-8093-310932ecba80"
"641","Warren Ellis","Transmetropolitan 18 (1999)","","","Transmetropolitan","18.0","4ea3ff67-a27d-4166-9cb3-b4cde25fb06a"
"642","Warren Ellis","Transmetropolitan 17 (1999)","","","Transmetropolitan","17.0","fa45dd5c-3782-4e32-acb5-21b32b6d0170"
"643","Warren Ellis","Transmetropolitan 16 (1998)","","","Transmetropolitan","16.0","7ab81c18-93cd-4ae1-bcbc-3eb25421009a"
"644","Warren Ellis","Transmetropolitan 15 (1998)","","","Transmetropolitan","15.0","1edc0705-6967-4916-a7c0-694d440c1ee6"
"645","Warren Ellis","Transmetropolitan 14 (1998)","","","Transmetropolitan","14.0","d4412250-0764-4e79-b6de-6967c82994e1"
"646","Warren Ellis","Transmetropolitan 13 (1998)","","","Transmetropolitan","13.0","2e7d1a7c-b5a5-4572-b230-dcc112f07901"
"647","Warren Ellis","Transmetropolitan 12 (1998)","","","Transmetropolitan","12.0","233bbe41-ed1a-452d-92c5-971f189d4780"
"648","Warren Ellis","Transmetropolitan 11 (1998)","","","Transmetropolitan","11.0","4d707cb5-94f1-48f7-a961-789dcb0c6b67"
"649","Warren Ellis","Transmetropolitan 10 (1998)","","","Transmetropolitan","10.0","7eeb9999-192a-400a-80d4-6c05ae93abca"
"650","Warren Ellis","Transmetropolitan 09 (1998)","","","Transmetropolitan","9.0","4b0ed6d2-967d-4361-a341-795a775d7ac8"
"651","Warren Ellis","Transmetropolitan 08 (1998)","","","Transmetropolitan","8.0","7978967a-690d-4116-b630-65109ded3d87"
"652","Warren Ellis","Transmetropolitan 07 (1998)","","","Transmetropolitan","7.0","360ee2d1-d042-4606-a300-a373cfdac0d8"
"653","Warren Ellis","Transmetropolitan 06 (1998)","","","Transmetropolitan","6.0","844be8f9-44c6-4427-ac99-99123b9a4153"
"654","Warren Ellis","Transmetropolitan 05 (1998)","","","Transmetropolitan","5.0","2930337a-209e-483a-816b-5df2d13ff2d9"
"655","Warren Ellis","Transmetropolitan 04 (1997)","","","Transmetropolitan","4.0","72e75253-ec79-4333-85a5-b85e95ea97b2"
"656","Warren Ellis","Transmetropolitan 03 (1997)","","","Transmetropolitan","3.0","a84a7339-82a2-4d60-b0fd-0ed3556918fb"
"657","Warren Ellis","Transmetropolitan - Filth of the City","","","Transmetropolitan","61.0","57e45e69-16cc-4a61-883d-cd19eb3134cf"
"664","Non Prophet","Raze Anthology","","","","1.0","62431d78-78dc-435c-8f85-24022db33909"
"665","Alex Tynemouth","Haze","","","","1.0","7cc48cb2-cab4-49c0-8a30-98e32e8c4439"
"666","2600 Magazine","2600 3q19 DigitalEdition","","","","1.0","f3d63611-2613-4614-9d8d-37f4eb954a97"
"670","Neil Stanley","How to Sleep Well","9780857087874","isbn:9780857087874","","1.0","2254f308-3b4f-4a73-826c-0a6bd56adf67"
"671","Unknown","cornbread","","","","1.0","d0fbbc82-549a-412f-a94e-c1b6317bb1e0"
